rank,stadium,capacity,region,country,city,images,home,location
47,Naghsh-e-Jahan Stadium,75000,West Asia,Iran,Isfahan,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Naghsh_Jahan_Stadium.jpg/150px-Naghsh_Jahan_Stadium.jpg,Sepahan FC,"['32.742455750000005', '51.68618101216669']"
48,Bank of America Stadium,74867,North America,United States,"Charlotte, North Carolina",https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Bank_of_America_Stadium_soccer.jpg/150px-Bank_of_America_Stadium_soccer.jpg,"Charlotte FC, Carolina Panthers","['35.225737', '-80.8527666409835']"
49,Millennium Stadium,74500,Europe,Wales,Cardiff,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Millennium_Stadium_-_Glanmor%E2%80%99s_Gap.jpg/150px-Millennium_Stadium_-_Glanmor%E2%80%99s_Gap.jpg,Wales national football team,"['51.4782493', '-3.1836667006651895']"
50,Olympiastadion,74475,Europe,Germany,Berlin,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Berlin_Olympiastadion_nach_Umbau.jpg/150px-Berlin_Olympiastadion_nach_Umbau.jpg,Hertha BSC,"['52.5145846', '13.239814417756278']"
51,Cairo International Stadium,74100,Africa,Egypt,Cairo,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Cairo_Stadium_Afcon_u23_2019.jpg/150px-Cairo_Stadium_Afcon_u23_2019.jpg,"Egypt national football team, Al Ahly, Zamalek","['30.069115099999998', '31.31220638047715']"
52,FirstEnergy Stadium,73200,North America,United States,Cleveland,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/FirstEnergy_Stadium_panorama_2016.jpg/150px-FirstEnergy_Stadium_panorama_2016.jpg,Cleveland Browns,"['41.5060559', '-81.69971184525946']"
53,Estádio Nacional Mané Garrincha,72788,South America,Brazil,"Brasília, Distrito Federal",https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Est%C3%A1dio_Nacional_Bras%C3%ADlia.jpg/150px-Est%C3%A1dio_Nacional_Bras%C3%ADlia.jpg,"Brasília FC, Legião FC","['-15.783749799999999', '-47.8990287459102']"
54,Stadio Olimpico,72698,Europe,Italy,"Rome, Lazio",https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/The_Stadio_Olimpico_during_a_match_between_AS_Roma_and_Sampdoria.jpg/150px-The_Stadio_Olimpico_during_a_match_between_AS_Roma_and_Sampdoria.jpg,"AS Roma, Lazio","['41.933942349999995', '12.454770497133222']"
55,Nissan Stadium,72327,East Asia,Japan,"Yokohama, Kanagawa",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/International_Stadium_Yokohama-1.jpg/150px-International_Stadium_Yokohama-1.jpg,"Yokohama F. Marinos, Yokohama Eagles","['35.5099882', '139.60638254387774']"
56,NRG Stadium,72220,North America,United States,"Houston, Texas",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/The_Texans_at_Reliant_Park_1_Jan_2012.jpg/150px-The_Texans_at_Reliant_Park_1_Jan_2012.jpg,"Houston Texans, Houston Dynamo FC","['29.6848581', '-95.41080145326987']"
